source,target,value
0,105,1
1,108,2
2,105,2
3,105,3
4,105,2
4,108,1
5,105,1
5,108,1
6,105,2
7,105,1
8,105,1
9,102,1
10,104,1
11,102,1
11,105,7
12,105,3
12,113,1
13,105,1
14,105,1
15,105,10
16,105,1
17,102,3
17,105,2
18,104,2
18,105,1
19,102,2
19,103,4
19,104,3
19,105,4
20,102,8
20,103,5
20,104,6
20,105,17
20,106,2
20,107,1
20,108,1
20,111,1
21,105,4
21,108,3
22,108,1
23,105,1
24,104,1
24,107,1
24,108,1
24,112,1
24,113,1
25,112,1
26,102,1
27,105,2
28,105,1
29,105,1
30,105,1
31,105,2
32,110,2
33,105,2
34,108,1
35,102,1
36,105,1
36,107,1
37,105,1
38,102,3
38,104,1
38,107,1
38,108,3
39,102,1
39,104,1
40,102,1
40,104,1
40,105,17
40,107,6
40,108,14
40,110,1
40,111,1
40,113,1
41,105,1
41,107,3
42,109,1
43,108,1
44,105,1
45,107,1
46,102,7
46,110,1
47,102,2
47,105,1
47,110,11
48,102,31
48,106,6
48,107,2
48,108,1
48,110,64
49,105,1
50,105,1
50,108,1
51,102,1
51,105,7
51,107,3
51,108,1
52,107,2
53,105,1
54,102,1
54,108,1
55,111,1
56,105,1
57,107,5
58,107,1
59,105,1
60,105,1
61,102,1
61,105,1
62,107,1
62,108,1
63,110,2
64,108,1
65,105,1
66,105,1
67,105,2
67,108,1
68,104,1
69,105,2
69,107,1
70,107,1
71,103,61
71,105,1
72,104,2
72,105,7
72,108,41
73,107,1
74,108,1
75,108,1
76,105,1
76,107,2
77,104,1
77,105,8
78,105,1
79,104,1
80,105,1
81,107,1
82,104,1
83,104,1
83,105,1
84,105,1
84,107,1
84,108,1
84,112,1
84,113,1
85,105,1
86,104,1
86,107,1
86,108,1
87,105,2
88,105,1
89,105,1
90,105,1
91,105,3
92,105,2
93,108,1
94,102,1
95,105,2
95,108,2
96,105,3
97,111,1
98,105,10
99,105,2
99,108,1
100,105,1
101,105,1
101,107,1
